energy,tempo,danceability,genre,loudness,liveness,valence,artist,time_signature,speechiness,track_popularity,album,name,instrumentalness,mode,key,duration_ms,acousticness,id,popularity,release_year
0.592,157.969,0.521,pop,-7.777,0.122,0.535,"Lady Gaga, Bruno Mars",3.0,0.0304,100,Die With A Smile,Die With A Smile,0.0,0.0,6.0,251668.0,0.308,2plbrEY59IikOBgBGLjaoe,1,2024
0.507,104.978,0.747,pop,-10.171,0.117,0.438,Billie Eilish,4.0,0.0358,97,HIT ME HARD AND SOFT,BIRDS OF A FEATHER,0.0608,1.0,2.0,210373.0,0.2,6dOtVTDdiauQNBQEDOtlAB,1,2024
0.808,108.548,0.554,pop,-4.169,0.159,0.372,Gracie Abrams,4.0,0.0368,93,The Secret of Us (Deluxe),That’s So True,0.0,1.0,1.0,166300.0,0.214,7ne4VBA60CxGM75vw0EYad,1,2024
0.91,112.966,0.67,pop,-4.07,0.304,0.786,Sabrina Carpenter,4.0,0.0634,81,Short n' Sweet,Taste,0.0,0.0,0.0,157280.0,0.0939,1d7Ptw3qYcfpdLNL5REhtJ,1,2024
0.783,149.027,0.777,pop,-4.477,0.355,0.939,"ROSÉ, Bruno Mars",4.0,0.26,98,APT.,APT.,0.0,0.0,0.0,169917.0,0.0283,5vNRhkKd0yEAg8suGBpjeY,1,2024
0.582,116.712,0.7,pop,-5.96,0.0881,0.785,Chappell Roan,4.0,0.0356,94,"Good Luck, Babe!","Good Luck, Babe!",0.0,0.0,11.0,218424.0,0.0502,0WbMK4wrZ1wFSty9F7FCgu,1,2024
0.561,150.069,0.669,pop,-6.538,0.0954,0.841,Addison Rae,4.0,0.0411,88,Diet Pepsi,Diet Pepsi,0.00962,1.0,10.0,169698.0,0.495,6MzofobZt2dm0Kf1hTThFz,1,2024
0.247,148.101,0.467,pop,-12.002,0.17,0.126,Billie Eilish,4.0,0.0431,93,HIT ME HARD AND SOFT,WILDFLOWER,0.000271,0.0,6.0,261467.0,0.612,3QaPy1KgI7nu9FJEQUgn6h,1,2024
0.416,94.926,0.492,pop,-10.439,0.203,0.297,Gigi Perez,4.0,0.0254,71,Sailor Song,Sailor Song,8.61e-05,1.0,11.0,211979.0,0.686,0UYnhUfnUj5adChuAXvLUB,1,2024
0.722,119.973,0.769,pop,-5.485,0.111,0.57,"The Weeknd, Playboi Carti",4.0,0.0507,92,Timeless,Timeless (with Playboi Carti),2.56e-06,0.0,11.0,256000.0,0.0584,1Es7AUAhQvapIcoh3qMKDL,1,2024
0.667,130.019,0.776,pop,-6.622,0.0761,0.618,"Charli xcx, Billie Eilish",4.0,0.0983,85,Guess featuring Billie Eilish,Guess featuring billie eilish,0.3,1.0,7.0,145219.0,0.0146,3WOhcATHxK2SLNeP5W3v1v,1,2024
0.586,107.071,0.669,pop,-6.073,0.104,0.579,Sabrina Carpenter,4.0,0.054,88,Please Please Please,Please Please Please,0.0,1.0,9.0,186365.0,0.274,5N3hjp1WNayUPZrA8kJmJP,1,2024
0.806,104.032,0.608,pop,-3.443,0.191,0.587,Tate McRae,4.0,0.0486,79,2 hands,2 hands,0.0,1.0,1.0,181821.0,0.121,1f18HzFpegqvH4ibGJyeMJ,1,2024
0.709,81.012,0.722,pop,-4.95,0.0804,0.604,Shaboozey,4.0,0.0273,86,A Bar Song (Tipsy),A Bar Song (Tipsy),0.0,1.0,9.0,171292.0,0.0633,2FQrifJ1N335Ljm3TjTVVf,1,2024
0.757,139.982,0.742,pop,-4.981,0.305,0.957,Chappell Roan,4.0,0.0421,88,The Rise and Fall of a Midwest Princess,HOT TO GO!,0.0,1.0,6.0,184841.0,0.0187,4xdBrk0nFZaP54vvZj0yx7,1,2023
0.917,100.987,0.562,pop,-2.768,0.488,0.501,Lady Gaga,4.0,0.117,86,Disease,Disease,0.0,0.0,11.0,229997.0,0.0513,19KlZwqlT3fguP2BeHF1Q1,1,2024
0.787,109.939,0.734,pop,-3.951,0.312,0.672,LISA,4.0,0.116,82,Moonlit Floor (Kiss Me),Moonlit Floor (Kiss Me),0.0,0.0,5.0,155757.0,0.126,5G345YEhvleYxQLfYUlEFv,1,2024
0.843,122.064,0.619,pop,-5.348,0.164,0.746,Morgan Wallen,4.0,0.0284,86,Love Somebody,Love Somebody,0.000118,0.0,5.0,204829.0,0.00948,7hR22TOX3RorxJPcsz5Wbo,1,2024
0.406,115.94,0.53,pop,-7.507,0.133,0.338,Gracie Abrams,3.0,0.033,90,The Secret of Us,"I Love You, I'm Sorry",0.0,1.0,10.0,157147.0,0.656,51rfRCiUSvxXlCSCfIztBy,1,2024
0.782,119.992,0.727,pop,-8.529,0.225,0.655,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",4.0,0.042,86,Move,Move,0.336,0.0,8.0,177599.0,0.0563,1BJJbSX6muJVF2AK7uH1x4,1,2024
0.812,80.09,0.505,pop,-3.986,0.444,0.664,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",4.0,0.461,88,CHROMAKOPIA,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",0.0,1.0,1.0,255916.0,0.285,3tFed7YsjGnIfxeLEQwx3R,1,2024
