name,artist,release_year,id,genre
Die With A Smile,"Lady Gaga, Bruno Mars",2024,2plbrEY59IikOBgBGLjaoe,"gaming, pop"
APT.,"ROSÉ, Bruno Mars",2024,5vNRhkKd0yEAg8suGBpjeY,pop
BIRDS OF A FEATHER,Billie Eilish,2024,6dOtVTDdiauQNBQEDOtlAB,"gaming, pop"
"Good Luck, Babe!",Chappell Roan,2024,0WbMK4wrZ1wFSty9F7FCgu,"gaming, pop"
Si Antes Te Hubiera Conocido,KAROL G,2024,6WatFBLVB0x077xWeoVc2k,"latin, pop"
That's So True,Gracie Abrams,2024,7ne4VBA60CxGM75vw0EYad,pop
Tu Boda,"Oscar Maydon, Fuerza Regida",2024,1cOboCuWYI2osTOfolMRS6,"latin, pop"
WILDFLOWER,Billie Eilish,2024,3QaPy1KgI7nu9FJEQUgn6h,pop
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",2024,1Es7AUAhQvapIcoh3qMKDL,"hip-hop, pop"
Who,Jimin,2024,7tI8dRuH2Yc6RuoTjxo4dU,pop
Bed Chem,Sabrina Carpenter,2024,1UHS8Rf6h5Ar3CDWRd3wjF,pop
"I Love You, I'm Sorry",Gracie Abrams,2024,51rfRCiUSvxXlCSCfIztBy,pop
Espresso,Sabrina Carpenter,2024,2qSkIjg1o9h3YT9RAgYN75,"gaming, pop"
EL LOKERON,Tito Double P,2024,6X6m4xmdFcz31p1h7Qg68c,"latin, pop"
Mantra,JENNIE,2024,2CspwnypzT7rcWI9RfsoSb,pop
Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",2024,0Sr7ssScx54yxdM2ols7nW,"latin, pop"
DOS DÍAS,"Tito Double P, Peso Pluma",2024,5lKFO0PrOC9jmOlPEdjHsL,"latin, pop"
Diet Pepsi,Addison Rae,2024,6MzofobZt2dm0Kf1hTThFz,pop
NEL,Fuerza Regida,2024,5AH31dDNgxCMGDdxubNNn4,latin
Not Like Us,Kendrick Lamar,2024,6AI3ezQ4o3HUoP6Dhudph3,"gaming, hip-hop, pop"
Stargazing,Myles Smith,2024,3Vr3zh0r7ALn8VLqCiRR10,"gaming, pop"
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",2024,3tFed7YsjGnIfxeLEQwx3R,"hip-hop, pop"
Please Please Please,Sabrina Carpenter,2024,5N3hjp1WNayUPZrA8kJmJP,"gaming, pop"
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator, Teezo Touchdown",2024,0VaeksJaXy5R1nvcTMh3Xk,hip-hop
Embrace It,Ndotz,2024,0io16MKpbeDIdYzmGpQaES,pop
Gata Only,"FloyyMenor, Cris Mj",2024,6XjDF6nds4DE2BBbagZol6,latin
Juno,Sabrina Carpenter,2024,21B4gaTWnTkuSh77iWEXdS,pop
